Wavenumber (cm^-1)    Wavelength (um)        Normalized SRF
12530    0.798084596967279    0.9757638
12535    0.797766254487435    0.9764956
12540    0.797448165869219    0.9772689
12545    0.797130330809087    0.9780763
12550    0.796812749003984    0.9789111
12555    0.796495420151334    0.9797657
12560    0.796178343949045    0.9806336
12565    0.795861520095503    0.9815078
12570    0.795544948289578    0.9823815
12575    0.795228628230616    0.9832479
12580    0.794912559618442    0.9841003
12585    0.794596742153357    0.9849316
12590    0.79428117553614    0.9857354
12595    0.793965859468043    0.9865043
12600    0.793650793650794    0.9872311
12605    0.793335977786593    0.9879084
12610    0.793021411578113    0.9885285
12615    0.792707094728498    0.9890838
12620    0.792393026941363    0.9895657
12625    0.792079207920792    0.9899661
12630    0.791765637371338    0.9902773
12635    0.791452314998021    0.9905019
12640    0.791139240506329    0.9906487
12645    0.790826413602214    0.9907253
12650    0.790513833992095    0.9907393
12655    0.790201501382853    0.9906982
12660    0.789889415481833    0.990609
12665    0.789577575996842    0.9904785
12670    0.789265982636148    0.9903135
12675    0.788954635108481    0.9901207
12680    0.788643533123028    0.9899063
12685    0.788332676389436    0.9896767
12690    0.788022064617809    0.9894381
12695    0.787711697518708    0.989197
12700    0.78740157480315    0.9889603
12705    0.787091696182605    0.9887357
12710    0.786782061369001    0.9885305
12715    0.786472670074715    0.9883522
12720    0.786163522012579    0.9882087
12725    0.785854616895874    0.9881077
12730    0.785545954438335    0.9880573
12735    0.785237534354142    0.9880656
12740    0.784929356357928    0.9881413
12745    0.784621420164771    0.9882931
12750    0.784313725490196    0.9885302
12755    0.784006272050176    0.9888622
12760    0.783699059561129    0.9892948
12765    0.783392087739914    0.9898176
12770    0.783085356303837    0.9904149
12775    0.782778864970646    0.9910724
12780    0.782472613458529    0.9917753
12785    0.782166601486116    0.9925097
12790    0.781860828772478    0.9932612
12795    0.781555295037124    0.9940156
12800    0.781250000000        0.9947591
12805    0.780944943381492    0.9954779
12810    0.78064012490242    0.9961572
12815    0.780335544284042    0.9967829
12820    0.78003120124805    0.9973403
12825    0.779727095516569    0.9978157
12830    0.779423226812159    0.998201
12835    0.779119594857811    0.9984893
12840    0.778816199376947    0.9986737
12845    0.778513040093422    0.998747
12850    0.778210116731518    0.998701
12855    0.777907429015947    0.9985273
12860    0.777604976671851    0.9982167
12865    0.777302759424796    0.9977596
12870    0.777000777000777    0.9971457
12875    0.776699029126214    0.9963639
12880    0.77639751552795    0.9954024
12885    0.776096235933256    0.9942485
12890    0.775795190069822    0.9928904
12895    0.775494377665762    0.9913324
12900    0.775193798449612    0.9895879
12905    0.774893452150329    0.9876707
12910    0.774593338497289    0.9855927
12915    0.774293457220286    0.9833659
12920    0.773993808049536    0.9810012
12925    0.773694390715667    0.9785091
12930    0.773395204949729    0.9758993
12935    0.773096250483185    0.9731812
12940    0.772797527047914    0.9703636
12945    0.772499034376207    0.9674549
12950    0.772200772200772    0.964463
12955    0.771902740254728    0.9613956
12960    0.771604938271605    0.9582578
12965    0.771307365985345    0.9550512
12970    0.771010023130301    0.9517776
12975    0.770712909441233    0.9484377
12980    0.770416024653313    0.9450319
12985    0.770119368502118    0.9415608
12990    0.769822940723634    0.9380242
12995    0.769526741054252    0.9344223
13000    0.769230769230769    0.9307541
13005    0.768935024990388    0.9270191
13010    0.768639508070715    0.9232158
13015    0.768344218209758    0.9193431
13020    0.768049155145929    0.9153991
13025    0.767754318618042    0.9113846
13030    0.767459708365311    0.9073205
13035    0.767165324127349    0.9032346
13040    0.766871165644172    0.8991556
13045    0.76657723265619    0.8951115
13050    0.766283524904215    0.891131
13055    0.765990042129452    0.887243
13060    0.765696784073507    0.8834763
13065    0.765403750478377    0.8798609
13070    0.765110941086457    0.8764269
13075    0.764818355640535    0.8732059
13080    0.764525993883792    0.87023
13085    0.764233855559801    0.8675321
13090    0.763941940412529    0.8651469
13095    0.763650248186331    0.8630935
13100    0.763358778625954    0.8613539
13105    0.763067531476536    0.8599072
13110    0.7627765064836        0.8587331
13115    0.762485703393061    0.857813
13120    0.76219512195122    0.8571295
13125    0.761904761904762    0.8566655
13130    0.761614623000762    0.8564058
13135    0.761324704986677    0.8563357
13140    0.76103500761035    0.8564414
13145    0.760745530620008    0.8567097
13150    0.760456273764259    0.8571287
13155    0.760167236792094    0.8576864
13160    0.759878419452888    0.8583721
13165    0.759589821496392    0.8591757
13170    0.759301442672741    0.8600892
13175    0.759013282732448    0.8611045
13180    0.758725341426404    0.862214
13185    0.758437618505878    0.8634106
13190    0.758150113722517    0.8646882
13195    0.757862826828344    0.8660398
13200    0.757575757575758    0.8674599
13205    0.757288905717531    0.8689427
13210    0.757002271006813    0.870483
13215    0.756715853197125    0.8720756
13220    0.75642965204236    0.8737155
13225    0.756143667296786    0.8753981
13230    0.755857898715042    0.8771193
13235    0.755572346052135    0.8788745
13240    0.755287009063444    0.8806604
13245    0.755001887504719    0.8824733
13250    0.754716981132076    0.8843102
13255    0.754432289701999    0.8861672
13260    0.754147812971342    0.8880416
13265    0.753863550697324    0.88993
13270    0.753579502637528    0.8918296
13275    0.753295668549906    0.8937373
13280    0.753012048192771    0.8956499
13285    0.752728641324802    0.8975649
13290    0.752445447705041    0.899479
13295    0.752162467092892    0.9013895
13300    0.75187969924812    0.9032932
13305    0.751597143930853    0.9051803
13310    0.751314800901578    0.9070337
13315    0.751032669921142    0.9088352
13320    0.750750750750751    0.9105665
13325    0.75046904315197    0.912209
13330    0.750187546886722    0.9137439
13335    0.749906261717285    0.9151515
13340    0.749625187406297    0.9164119
13345    0.749344323716748    0.9175042
13350    0.749063670411985    0.9184071
13355    0.748783227255709    0.9190983
13360    0.748502994011976    0.9195544
13365    0.748222970445193    0.9197511
13370    0.74794315632012    0.919663
13375    0.747663551401869    0.9192703
13380    0.747384155455904    0.9185663
13385    0.747104968248039    0.9175457
13390    0.746825989544436    0.9162012
13395    0.746547219111609    0.9145241
13400    0.746268656716418    0.9125044
13405    0.745990302126072    0.9101304
13410    0.745712155108128    0.907389
13415    0.745434215430488    0.9042653
13420    0.745156482861401    0.9007427
